name,category,duration,energy_level,social_context,lat,lng,tags,source_url,source_name,start_date,image_url
"Creative Movement","Explore",90,2,"Either",,,"explore|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131303?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/hubs/1f94c8a6548de81c263ba80ba889c0b6.png"
"Crochet Basics Workshop","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260117322?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/fcaf57a93f5b9bffa88134fe9c3a1033.png"
"Curious Crafter","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260112940?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/ca433790431fbcaa119d130c146a7d5d.png"
"Documentary Film Series: ""Sugarcane"" (2024)","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260115869?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/3795319de14a76029a3c4b8e7c187db6.jpg"
"Duplicate Sanction Bridge - Granite Reef","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131173?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7efa8a3e4b45ee9a6f00a098bc02adbc.png"
"Duplicate Sanction Bridge - Granite Reef","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131174?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7efa8a3e4b45ee9a6f00a098bc02adbc.png"
"Duplicate Sanction Bridge - Granite Reef","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131175?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7efa8a3e4b45ee9a6f00a098bc02adbc.png"
"Duplicate Sanction Bridge - Via Linda","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131168?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7efa8a3e4b45ee9a6f00a098bc02adbc.png"
"Duplicate Sanction Bridge - Via Linda","Wellness",90,1,"Either",,,"wellness|event|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260131170?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/resources/7efa8a3e4b45ee9a6f00a098bc02adbc.png"
"ESOL: Beginning Conversation Class","Movement",90,3,"Either",,,"movement|event|outdoor|municipality|rating:source-curated","https://community.scottsdaleaz.gov/scottsdaleaz_main/260111911?utm_source=bewith&utm_medium=calendar","City of Scottsdale Community Calendar","","https://org-images.withapps.io/16/images/9a519182ff5490a9d6dbaa67188397ea.jpg"
